allure_id;name;full_name;automated;description;precondition;expected_result;status;scenario;issue;tag;link;example;parameter;Lead;Owner;Tutors;Feature;Suite;Tester
298;"Успешная регистрация с корректными данными (объединен 
 с #563 и #562)";;false;;;Пользователь успешно зарегистрирован и перенаправлен на страницу своего профиля;Active;"1. Открыть окно регистрации https://runit.hexlet.ru/signup
2. Ввести валидный email в поле ""Email""
3. Ввести корректный логин
4. Ввести корректный пароль в поля ""пароль"" 
5. Нажать кнопку ""Регистрация""";;POSITIVE;;;;;ruslan.yakubov;;1.1. Возможность регистрации по email и паролю.;01. Регистрация;
299;Невозможность регистрации по не валидному email;;false;;;Регистрация не происходит, отображается сообщение "Некорректная электронная почта";Active;"1. Открыть https://runit.hexlet.ru/signup
2. Ввести не валидный email ""test222@.t""
3. Ввести корректный пароль в поля ""пароль"" 
4. Ввести корректный логин
5. Нажать кнопку ""Регистрация""";;NEGATIVE;;;;;ruslan.yakubov;;1.1. Возможность регистрации по email и паролю.;01. Регистрация;
300;Невозможность регистрации с паролем менее 8 символов;;false;;;Регистрация не происходит, отображается требование "пароль от 8 до 30 символов";Active;"1. Открыть https://runit.hexlet.ru/signup
2. Ввести корректный email
3. Ввести корректный логин
4. Ввести пароль с менее 8 символами
5. Нажать кнопку ""Регистрация""";;NEGATIVE;;;;;ruslan.yakubov;;1.2. Пароль для регистрации должен содержать минимум 8 символов.;01. Регистрация;
301;Успешная регистрация с паролем из 8 символов (ДУБЛИРУЕТ #298);;false;;;Пользователь успешно зарегистрирован и перенаправлен на страницу своего профиля;Active;"1. Открыть https://runit.hexlet.ru/signup
2. Ввести корректный email
3. Ввести корректный логин
4. Ввести корректный пароль из 8 символов, продублировать пароль в поле ""подтвердить пароль""
5. Нажать кнопку ""Регистрация""";;POSITIVE;;;;;ruslan.yakubov;;1.2. Пароль для регистрации должен содержать минимум 8 символов.;01. Регистрация;
302;Невозможность повторно зарегистрировать по уже зарегистрированному email;;false;;Наличие зарегистрированного аккаунта по email;Регистрация не произошла, отображается сообщение "такой пользователь уже зарегистрирован";Active;"1. Открыть https://runit.hexlet.ru/signup
2. Ввести уже зарегистрированный email
3. Ввести корректный логин
4. Ввести корректный пароль в поля ""пароль"" 
5. Нажать кнопку ""Регистрация""";;NEGATIVE;;;;;ruslan.yakubov;;1.3. Нельзя повторно зарегистрироваться по одному email.;01. Регистрация;
331;Успешное получение письма на email, для валидации аккаунта;;false;;;Аккаунт успешно активирован, пользователь перенаправлен на главную страницу сайта;Draft;"1. Открыть https://runit.hexlet.ru/signup
2. Зарегистрироваться на сайте 
	2.1. Ввести уникальный валидный email 
	2.2. Ввести корректный логин
	2.3. Ввести и продублировать корректный пароль.
3. Проверить email, указанный при регистрации, на наличие письма с ссылкой на активацию аккаунта
4. Перейти по ссылке для активации аккаунта";;POSITIVE;;;;;ruslan.yakubov;;1.4. Валидация при регистрации по email;01. Регистрация;
332;Неуспешная регистрация с логином, состоящим из 2-х и менее символов;;false;;;Регистрация не происходит, отображается требование ввести логин “От 3 до 16 символов”;Active;"1. Открыть https://runit.hexlet.ru/signup
2. Ввести уникальный валидный email
3. Ввести логин, состоящий из 2-х и менее символов “FС”
4. Ввести и продублировать корректный пароль
5. Нажать кнопку ""Регистрация""";;NEGATIVE;;;;;ruslan.yakubov;;1.5. Логин должен содержать от 3-х до 16 символов;01. Регистрация;
333;Неуспешная регистрация с логином, состоящим из 17 и более символов;;false;;;Регистрация не происходит, отображается требование ввести логин “От 3 до 16 символов”;Active;"1. Открыть https://runit.hexlet.ru/signup
2. Ввести уникальный валидный email
3. Ввести логин, состоящий из 17 и более символов “123456789abcdefjk”
4. Ввести корректный пароль
5. Нажать кнопку ""Регистрация""";;NEGATIVE;;;;;ruslan.yakubov;;1.5. Логин должен содержать от 3-х до 16 символов;01. Регистрация;
334;Неуспешная регистрация c некорректным дублированием пароля;;false;;;Регистрация не происходит, отображается требование "Пароли должны совпадать";Outdated;"1. Открыть https://runit.hexlet.ru/signup
2. Ввести уникальный валидный email 
3. Ввести корректный логин 
4. Ввести пароль, содержащий пустой символ ''123456789"" """"
5. В поле подтверждения ввести пароль без пустого символа
6. Нажать кнопку ""Регистрация""";;NEGATIVE;;;;;ruslan.yakubov;;1.6. Нельзя зарегистрироваться при несовпадающих паролях;01. Регистрация;
335;Проверка возможности отображать символы пароля при его вводе;;false;;;При нажатии на кнопу “отобразить пароль”, отображается введенный пароль вместо скрытых символов в поле "Пароль";Draft;"1. Открыть https://runit.hexlet.ru/signup
2. Ввести уникальный валидный email 
3. Ввести корректный логин 
4. Ввести пароль в поле “Пароль”
5. Нажать на кнопу “отобразить пароль” в поле “Пароль”";;POSITIVE;;;;;ruslan.yakubov;;1.7. Возможность отобразить пароль при его вводе,Не реализовано;01. Регистрация;
364;Успешная авторизация с помощью email и пароля;;false;;Зарегистрированный по email и паролю аккаунт;Пользователь авторизован и перенаправлен на страницу своего профиля;Active;"1. Открыть https://runit.hexlet.ru/signin
2. Вести email
3. Ввести пароль
4. Нажать кнопку ""Войти""";;POSITIVE;;;;;ruslan.yakubov;;2.1. Возможность авторизации на сайте по email и паролю;02. Авторизация;
