allure_id;name;full_name;automated;description;precondition;expected_result;status;scenario;issue;tag;link;example;parameter;Lead;Owner;Tutors;Feature;Suite
991;Регистрация пользователя с корректными данными;;false;;;Пользователь зарегистрирован и перенаправлен в workspaces;Active;"1. Открыть:https://hexlet-correction.herokuapp.com/signup
2. Ввести валидный Username
3. Ввести валидный Email
4. Подтвердить email
5. Ввести валидный First Name
6. Ввести валидный Last Name
7. Ввести валидный Password
8. Подтвердить валидный Password
9. Нажать кнопку Create Account";;positive;;;;;Salivya;;1.1. Пользователь может зарегистрироваться по email;01. Регистрация
1024;Успешная авторизация;;false;;"Аккаунт зарегистрирован";Пользователь успешно авторизован;Active;"1. Открыть https://hexlet-correction.herokuapp.com/login
2. Ввести Username: Avadakedavra
3. Ввести пароль: Avadakedavra 
4. Нажать войти";;;;;;;ruslan.yakubov;;2.1. Пользователь может авторизоваться по email;02. Авторизация
1090;Чек лист проверки кнопки смены языка;;false;;"1. Наличие зарегистрированного аккаунта зарегистрирован
2. Создан workspace

**Test data**

**Workspace data:**
_URL:_ https://www.youtube.com/watch?v=YRNyamyBOIQ
_Worcspace Name:_ Astronaut 
_Workspace Description:_ Masked Wolf - Astronaut";Во всех разделах интерфейс страницы меняет язык, при нажатии кнопка смены языка (EN/RU) переключается и отображается корректно в соответствии с выбранным языком;Active;"1. Проверка кнопки на странице авторизации
	1.1. Открыть: https://hexlet-correction.herokuapp.com/login
	1.2. Переключать язык страницы (EN/RU) несколько раз
	1.3. Интерфейс страницы сменил язык, при нажатии кнопка переключается и отображается корректно  в соответствии с выбранным языком
2. Проверка кнопки в разделе Workspaces
	2.1. Залогиниться 
	2.2. Перенаправлены в раздел: https://hexlet-correction.herokuapp.com/workspaces
	2.3. Переключать язык страницы (EN/RU) несколько раз
	2.4. Интерфейс страницы сменил язык, при нажатии кнопка переключается и отображается в соответствии с выбранным языком корректно
3. Проверка кнопки в разделе Account Info
	3.1. Нажать ""Account Info""
	3.2. Перенаправлены в раздел: https://hexlet-correction.herokuapp.com/account
	3.3. Переключать язык страницы (EN/RU) несколько раз
	3.4. Интерфейс страницы сменил язык, при нажатии кнопка переключается и отображается корректно в соответствии с выбранным языком
4. Проверка кнопки в разделе ""настройки аккаунта""
	4.1. В блоке ""General"" нажать ""Edit""
	4.2. Перенаправлены в раздел: https://hexlet-correction.herokuapp.com/account/update
	4.3. Переключить язык страницы (EN/RU) несколько раз
	4.4. Интерфейс страницы сменил язык, при нажатии кнопка переключается и отображается корректно в соответствии с выбранным языком
5. Проверка кнопки в разделе ""настройки пароля""
	5.1. Вернуться в раздел: https://hexlet-correction.herokuapp.com/account
	5.2. В блоке ""Password"" нажать ""Edit""
	5.3. Перенаправлены в раздел: https://hexlet-correction.herokuapp.com/account/password
	5.4. Переключить язык страницы (EN/RU) несколько раз
	5.5. Интерфейс страницы сменил язык, при нажатии кнопка переключается и отображается корректно в соответствии с выбранным языком
6. Проверка кнопки в разделе ""создание пространства""
	6.1. Нажать  ""Create Worcspace"" навбара
	6.2. Перенаправлены в раздел: https://hexlet-correction.herokuapp.com/workspace
	6.3. Переключить язык страницы (EN/RU) несколько раз
	6.4. Интерфейс страницы сменил язык, при нажатии кнопка переключается и отображается корректно в соответствии с выбранным языком
7. Проверка кнопки в разделе ""info workspace_name""
	7.1. Нажать ""info"" в блоке созданного worcspace
	7.2. Перенаправлены в раздел: https://hexlet-correction.herokuapp.com/workspace/Astronaut 
//в моем случае используется имя workspace - Astronaut
	7.3. Переключить язык страницы (EN/RU) несколько раз
	7.4. Интерфейс страницы сменил язык, при нажатии кнопка переключается и отображается корректно в соответствии с выбранным языком
8. Проверка кнопки в разделе ""настройки workspace""
	8.1. Нажать ""Edit"" на инфо-панели workspace
	8.2. Перенаправлены в раздел: https://hexlet-correction.herokuapp.com/workspace/Astronaut/update
	8.3. Переключить язык страницы (EN/RU) несколько раз
	8.4. Интерфейс страницы сменил язык, при нажатии кнопка переключается и отображается корректно в соответствии с выбранным языком
9. Проверка кнопки в разделе workspace Typos
	9.1. Нажать ""Typos"" в навигационной панели слева 
	9.2. Перенаправлены в раздел: https://hexlet-correction.herokuapp.com/workspace/Astronaut/typos
	9.3. Переключить язык страницы (EN/RU) несколько раз
	9.4. Интерфейс страницы сменил язык, при нажатии кнопка переключается и отображается корректно в соответствии с выбранным языком
10. Проверка кнопки в разделе workspace settings
	10.1. Нажать ""Settings"" в навигационной панели слева 
	10.2. Перенаправлены в раздел: https://hexlet-correction.herokuapp.com/workspace/Astronaut/settings
	10.3. Переключить язык страницы (EN/RU) несколько раз
	10.4. Интерфейс страницы сменил язык, при нажатии кнопка переключается и отображается корректно в соответствии с выбранным языком
11. Проверка кнопки в разделе workspace users
	11.1. Нажать ""Users"" в навигационной панели слева
	11.2. Перенаправлены в раздел: https://hexlet-correction.herokuapp.com/workspace/Astronaut/users
	11.3. Переключить язык страницы (EN/RU) несколько раз
	11.4. Интерфейс страницы сменил язык, при нажатии кнопка переключается и отображается корректно в соответствии с выбранным языком";;positive;;;;;ruslan.yakubov;;6.1. Проверка работы кнопки переключения языка (EN/RU);06. Интерфейс
1157;Успешная авторизация без учета регистра символов в Username;;false;;"Успешно зарегистрированный пользователь: 
Username: 'uSer_24' 
Password: 'usEr_2023'";Успешная авторизация, открывается окно пользователя.;Active;"1. https://hexlet-correction.herokuapp.com/login
2. В поле Username вводим  'user_24'
3. В поле Password 'usEr_2023'
4. Кнопка Login";;positive;;;;;i.korobkina;;6.3. Символы Username;02. Авторизация
1158;Неуспешная авторизация незарегистрированного пользователя;;false;;Пользователь не зарегистрирован;Уведомление "Пользователь не зарегистрирован";Active;"1. https://hexlet-correction.herokuapp.com/login
2. В поле Username  вводим имя незарегистрированного пользователя U_s_e_r
3. В поле Password любой валидный пароль
4. Кнопка Login";;NEGATIVE;;;;;i.korobkina;;6.2. Неуспешная авторизация пользователя;02. Авторизация
1159;Неуспешная авторизация пользователя при неверном Password;;false;;"Зарегистрированный пользователь.
Username: USer_24
Password: usEr_2023";Уведомление 'Bad credential' / 'Неверные учетные данные';Active;"1. https://hexlet-correction.herokuapp.com/login
2. В поле Username вводится 'USer_24'
3. В поле Password любой пароль, кроме верного 'usEr_2023'
4. Кнопка Login";;NEGATIVE;;;;;i.korobkina;;6.2. Неуспешная авторизация пользователя;02. Авторизация
1160;Неуспешная авторизация пользователя при неверном Username;;false;;"Зарегистрированный пользователь
Username: 'uSer_24'
Password: 'usEr_2023'";Уведомление 'Bad credential' / 'Неверные учетные данные';Active;"1. https://hexlet-correction.herokuapp.com/login
2. В поле Username вводим 'uSe_r_24'
3. В поле Password вводим 'usEr_2023'
4. Кнопка Login";;NEGATIVE;;;;;i.korobkina;;6.2. Неуспешная авторизация пользователя;02. Авторизация
1189;Проверка регистрации пользователя при повторном использовании E-mail;;false;;"Открыта страница регистрации
Тестовые данные:
Username = Ilona
Email = user_2023@tu.tu
First Name = i
Last Name = i
Password = 12345678";"Пользователь не зарегистрирован.
Сообщение ""Аккаунт с данным адресом электронной почты уже существует""";Active;"1. Ввести Username
2. Ввести Email
3. Подтвердить Email
4. Ввести  First Name/Имя
5. Ввести Last Name/Фамилию
6. Ввести Пароль
7. Подтвердить Пароль
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
1190;Проверка регистрации с неверным Email, отсутствует доменное имя;;false;При написании Email не дописано доменное имя;"Открыта страница регистрации
Username = Ilona
Email = user_2023@
First Name = i
Last Name = i
Password = 12345678";"Пользователь НЕ зарегистрирован.
При нажатии на кнопку Зарегистрироваться сообщение ""Неверный адрес Email""";Active;"1. Ввести Username
2. Ввести Email     ""user_2023@ ""
3. Подтвердить Email   ""user_2023@ ""
4. Ввести  First Name/Имя
5. Ввести Last Name/Фамилию
6. Ввести Пароль
7. Подтвердить Пароль
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
1191;Проверка регистрации с неверным Email, отсутствует часть доменного имени;;false;При введении Email пропущена часть доменного имени между "@" и ".";"Открыта страница регистрации
Тестовые данные:
Username = Ilona
Email = user_2023@.tu
First Name = i
Last Name = i
Password = 12345678";"Пользователь НЕ зарегистрирован.
При нажатии на кнопку Зарегистрироваться сообщение ""Неверный адрес Email""";Active;"1. Ввести Username
2. Ввести Email  ""user_2023@.tu""
3. Подтвердить Email  ""user_2023@.tu""
4. Ввести First Name/Имя
5. Ввести Last Name/Фамилию
6. Ввести Пароль
7. Подтвердить Пароль
8. Нажать кнопку Create Account/Зарегистрироваться";;NEGATIVE;;;;;i.korobkina;;;01. Регистрация
